"cuenta";"descripcion";"cuentaesp"
6987000000;"Pèrdues per deteriorament en valors representatius de deute a curt termini, altres parts vinculades";
6988000000;"Pèrdues per deteriorament en valors representatius de deute a curt termini, d'altres empreses";
6990000000;"Pèrdues per deteriorament de crèdits a curt termini, empreses de el grup";
6991000000;"Pèrdues per deteriorament de crèdits a curt termini, empreses associades";
6992000000;"Pèrdues per deteriorament de crèdits a curt termini, altres parts vinculades";
6993000000;"Pèrdues per deteriorament de crèdits a curt termini, altres empreses";
7000000000;"Vendes de mercaderies";
7010000000;"Vendes de productes acabats";
7020000000;"Vendes de productes semiacabats";
7030000000;"Vendes de subproductes i residus";
7040000000;"Vendes d'envasos i embalatges";
7050000000;"Prestacions de serveis";
7060000000;"Descomptes sobre vendes per pagament immediat de mercaderies";
7061000000;"Descomptes sobre vendes per pagament immediat de productes acabats";
7062000000;"Descomptes sobre vendes per pagament immediat de productes semiacabats";
7063000000;"Descomptes sobre vendes per pagament immediat de subproductes i residus";
7080000000;"Devolucions de vendes de mercaderies";
7081000000;"Devolucions de vendes de productes acabats";
7082000000;"Devolucions de vendes de productes semiacabats";
7083000000;"Devolucions de vendes de subproductes i residus";
7084000000;"Devolucions de vendes d'envasos i embalatges";
7090000000;"«Ràpels» sobre vendes de mercaderies";
7091000000;"""Rappels"" sobre vendes de productes acabats";
7092000000;"""Rappels"" sobre vendes de productes semiacabats";
7093000000;"""Rappels"" sobre vendes de subproductes i residus";
7094000000;"""Rappels"" sobre vendes d'envasos i embalatges";
7100000000;"Variació d'existències de productes en curs";
7110000000;"Variació d'existències de productes semiacabats";
7120000000;"Variació d'existències de productes acabats";
7130000000;"Variació d'existències de subproductes, residus i materials recuperats";
7300000000;"Treballs realitzats per a l'immobilitzat intangible";
7310000000;"Treballs realitzats per a l'immobilitzat material";
7320000000;"Treballs realitzats en inversions immobiliàries";
7330000000;"Treballs realitzats per a l'immobilitzat material en curs";
7370000000;"Treballs realitzats per al fons d'educacio, formacio i promocio";
7400000000;"Subvencions, donacions i llegats a l'explotació";
7460000000;"Subvencions, donacions i llegats de capital transferits a el resultat de l'exercici";
7470000000;"Altres subvencions, donacions i llegats transferits a el resultat de l'exercici";
7510000000;"Pèrdua transferida (gestor)";
7511000000;"Benefici atribuït (partícip o associat no gestor)";
7520000000;"Ingressos per arrendaments";
7530000000;"Ingressos de propietat industrial cedida en explotació";
7540000000;"Ingressos per comissions";
7550000000;"Ingressos per serveis a personal";
7560000000;"Ingressos per operacions amb socis";
7570000000;"Sancions imposades a socis imputables a el fons d'educació, formació i promoció";
7571000000;"Subvencions imputables a el fons d'educació, formació i promoció";
7572000000;"Dotacions imputables a el fons d'educació, formació i promoció";
7573000000;"Altres ingressos imputables a el fons d'educació, formació i promoció";
7590000000;"Ingressos per serveis diversos";
7600000000;"Ingressos de participacions en instruments de patrimoni, empreses de el grup";
7601000000;"Ingressos de participacions en instruments de patrimoni, empreses associades";
7602000000;"Ingressos de participacions en instruments de patrimoni, altres parts vinculades";
7603000000;"Ingressos de participacions en instruments de patrimoni, altres empreses";
7610000000;"Ingressos de valors representatius de deute, empreses de el grup";
7611000000;"Ingressos de valors representatius de deute, empreses associades";
7612000000;"Ingressos de valors representatius de deute, altres parts vinculades";
7613000000;"Ingressos de valors representatius de deute, altres empreses";
7620000000;"Ingressos de crèdits a llarg termini, empreses de el grup";
7620100000;"Ingressos de crèdits a llarg termini, empreses associades";
7620200000;"Ingressos de crèdits a llarg termini, altres parts vinculades";
7620300000;"Ingressos de crèdits a llarg termini, altres empreses";
7621000000;"Ingressos de crèdits a curt termini, empreses de el grup";
7621100000;"Ingressos de crèdits a curt termini, empreses associades";
7621200000;"Ingressos de crèdits a curt termini, altres parts vinculades";
7621300000;"Ingressos de crèdits a curt termini, altres empreses";
7630000000;"Beneficis de cartera de negociació";
7631000000;"Beneficis de designats per l'empresa";
7632000000;"Beneficis de disponibles per a la venda";
7633000000;"Beneficis d'instruments de cobertura";
7660000000;"Beneficis en valors representatius de deute a llarg termini, empreses de el grup";
7661000000;"Beneficis en valors representatius de deute a llarg termini, empreses associades";
7662000000;"Beneficis en valors representatius de deute a llarg termini, altres parts vinculades";
7663000000;"Beneficis en participacions i valors representatius de deute a llarg termini, altres empreses";
7665000000;"Beneficis en participacions i valors representatius de deute a curt termini, empreses de el grup";
7666000000;"Beneficis en participacions i valors representatius de deute a curt termini, empreses associades";
7667000000;"Beneficis en valors representatius de deute a curt termini, altres parts vinculades";
7668000000;"Beneficis en valors representatius de deute a curt termini, altres empreses";
7670000000;"Ingressos d'actius afectes i de drets de reemborsament relatius a retribucions a llarg termini";
7680000000;"Diferències positives de canvi";
7690000000;"Altres ingressos financers";
7700000000;"Beneficis procedents de l'immobilitzat intangible";
7710000000;"Beneficis procedents de l'immobilitzat material";
7720000000;"Beneficis procedents de les inversions immobiliàries";
7733000000;"Beneficis procedents de participacions a llarg termini, empreses de el grup";
7734000000;"Beneficis procedents de participacions a llarg termini, empreses associades";
7735000000;"Beneficis procedents de participacions a llarg termini, altres parts vinculades";
7740000000;"Diferència negativa en combinacions de negocis";
7750000000;"Beneficis per operacions amb obligacionespropias";
7780000000;"ingressos excepcionals";
7900000000;"Reversió de la deterioració de l'immobilitzat intangible";
7910000000;"Reversió de la deterioració de l'immobilitzat material";
7920000000;"Reversió de la deterioració de les inversions immobiliàries";
7930000000;"Reversió de la deterioració de productes acabats i en curs de fabricació";
7931000000;"Reversió de la deterioració de mercaderies";
7932000000;"Reversió de la deterioració de matèries primeres";
7933000000;"Reversió de la deterioració d'altres aprovisionaments";
7940000000;"Reversió de la deterioració de crèdits per operacions comercials";
7950000000;"Excés de provisió per retribucions a personal";
7951000000;"Excés de provisió per a impostos";
7952000000;"Excés de provisió per a altres responsabilitats";
7954400000;"Excés de provisió per contractes onerosos";
7954900000;"Excés de provisió per a altres operacions comercials";
7955000000;"Excés de provisió per a actuacions mediambientals";
7956000000;"Excés de provisió per a reestructuracions";
7957000000;"Excés de provisió per transaccions amb pagaments basats en instruments de patrimoni";
7960000000;"Reversió de la deterioració de participacions en instruments de patrimoni net a llarg termini, empreses de el grup";
7961000000;"Reversió de la deterioració de participacions en instruments de patrimoni net a llarg termini, empreses associades";
7962000000;"Reversion de la deterioració de participacions en instruments de patrimoni net a llarg termini, altres parts vinculades.";
7963000000;"Reversió de la deterioració de participacions en instruments de patrimoni net a llarg termini, altres empreses.";
7965000000;"Reversió de la deterioració de valors representatius de deute a llarg termini, empreses de el grup";
7966000000;"Reversió de la deterioració de valors representatius de deute a llarg termini, empreses associades";
7967000000;"Reversió de la deterioració de valors representatius de deute a llarg termini, altres parts vinculades";
7968000000;"Reversió de la deterioració de valors representatius de deute a llarg termini, altres empreses";
7970000000;"Reversió de la deterioració de crèdits a llarg termini, empreses de el grup";
7971000000;"Reversió de la deterioració de crèdits a llarg termini, empreses associades";
7972000000;"Reversió de la deterioració de crèdits a llarg termini, altres parts vinculades";
7973000000;"Reversió de la deterioració de crèdits a llarg termini, altres empreses";
7980000000;"Reversió de la deterioració de participacions en instruments de patrimoni net a curt termini, empreses de el grup";
7981000000;"Reversió de la deterioració de participacions en instruments de patrimoni net a curt termini, empreses associades";
7985000000;"Reversió de la deterioració en valors representatius de deute a curt termini, empreses de el grup";
7986000000;"Reversió de la deterioració en valors representatius de deute a curt termini, empreses associades";
7987000000;"Reversió de la deterioració en valors representatius de deute a curt termini, altres parts vinculades";
7988000000;"Reversió de la deterioració en valors representatius de deute a curt termini, altres empreses";
7990000000;"Reversió de la deterioració de crèdits a curt termini, empreses de el grup";
7991000000;"Reversió de la deterioració de crèdits a curt termini, empreses associades";
7992000000;"Reversió de la deterioració de crèdits a curt termini, altres parts vinculades";
7993000000;"Reversió de la deterioració de crèdits a curt termini, altres empreses";
8000000000;"Pèrdues en actius financers disponibles per a la venda";
8020000000;"Transferència de beneficis en actius financers disponibles per a la venda";
8100000000;"Pèrdues per cobertures de fluxos d'efectiu";
8110000000;"Pèrdues per cobertures d'inversions netes en un negoci a l'estranger";
8120000000;"Transferència de beneficis per cobertures de fluxos d'efectiu";
8130000000;"Transferència de beneficis per cobertures d'inversions netes en un negoci a l'estranger";
8200000000;"Diferències de conversió negatives";
8210000000;"Transferència de diferències de conversió positives";
8300000000;"Impost corrent";
8301000000;"Impost diferit";
8330000000;"Ajustaments negatius en la imposició sobre beneficis";
8340000000;"Ingressos fiscals per diferències permanents";
8350000000;"Ingressos fiscals per deduccions i bonificacions";
8360000000;"Transferència de diferències permanents";
8370000000;"Transferència de deduccions i bonificacions";
8380000000;"Ajustaments positius en la imposició sobre beneficis";
8400000000;"Transferència de subvencions oficials de capital";
8410000000;"Transferència de donacions i llegats de capital";
8420000000;"Transferència d'altres subvencions, donacions i llegats";
8500000000;"pèrdues actuarials";
8510000000;"Ajustaments negatius en actius per retribucions a llarg termini de prestació definida";
8600000000;"Pèrdues en actius no corrents i grups alienables d'elements mantinguts per a la venda";
8620000000;"Transferència de beneficis en actius no corrents i grups alienables d'elements mantinguts per a la venda";
8910000000;"Deteriorament de participacions en el patrimoni, empreses de el grup";
8920000000;"Deteriorament de participacions en el patrimoni, empreses associades";
9000000000;"Beneficis en actius financers disponibles per a la venda";
9020000000;"Transferència de pèrdues d'actius financers disponibles per a la venda";
9100000000;"Beneficis per cobertures de fluxos d'efectiu";
9110000000;"Beneficis per cobertures d'una inversió neta en un negoci a l'estranger";
9120000000;"Transferència de pèrdues per cobertures de fluxos d'efectiu";
9130000000;"Transferència de pèrdues per cobertures d'una inversió neta en un negoci a l'estranger";
9200000000;"Diferències de conversió positives";
9210000000;"Transferència de diferències de conversió negatives";
9400000000;"Ingressos de subvencions oficials de capital";
9410000000;"Ingressos de donacions i llegats de capital";
9420000000;"Ingressos d'altres subvencions, donacions i llegats";
9500000000;"Guanys actuarials";
9510000000;"Ajustaments positius en actius per retribucions a llarg termini de prestació definida";
9600000000;"Beneficis en actius no corrents i grups alienables d'elements mantinguts per a la venda";
9620000000;"Transferència de pèrdues en actius no corrents i grups alienables d'elements mantinguts per a la venda";
9910000000;"Recuperació d'ajustos valoratius negatius previs, empreses de el grup";
9920000000;"Recuperació d'ajustos valoratius negatius previs, empreses associades";
9930000000;"Transferència per deteriorament d'ajustos valoratius negatius previs, empreses de el grup";
9940000000;"Transferència per deteriorament d'ajustos valoratius negatius previs, empreses associades";
