"cuenta";"descripcion";"cuentaesp"
5564;"Desembolsos exigidos sobre participaciones,empresas asociadas";
5565;"Desembolsos exigidos sobre participaciones, otras partes vinculadas";
5566;"Desembolsos exigidos sobre participaciones de otras empresas";
557;"Dividendo activo a cuenta";
5570;"Dividendo activo a cuenta";
5571;"Remuneraciones de aportaciones al capital social a cuenta";
5572;"Retorno activo a cuenta";
558;"Socios por desembolsos exigidos";
5580;"Socios por desembolsos exigidos sobre acciones o participaciones ordinarias";
5585;"Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros";
55850;"Desembolsos exigidos sobre capital social cooperativo considerados como pasivo financiero";
559;"Derivados financieros a corto plazo";
5590;"Activos por derivados financieros a corto plazo, cartera de negociación";
5593;"Activos por derivados financieros a corto plazo, instrumentos de cobertura";
5595;"Pasivos por derivados financieros a corto plazo, cartera de negociación";
5598;"Pasivos por derivados financieros a corto plazo, instrumentos de cobertura";
56;"FIANZAS Y DEPÓSITOS RECIBIDOS Y CONSTITUIDOS A CORTO PLAZO Y AJUSTES POR PERIODIFICACIÓN";
560;"Fianzas recibidas a corto plazo";
561;"Depósitos recibidos a corto plazo";
565;"Fianzas constituidas a corto plazo";
566;"Depósitos constituidos a corto plazo";
567;"Intereses pagados por anticipado";
568;"Intereses cobrados por anticipado";
569;"Garantías financieras a corto plazo";
57;"TESORERÍA";
570;"Caja, euros";"CAJA"
571;"Caja, moneda extranjera";
572;"Bancos e instituciones de crédito c/c vista, euros";
573;"Bancos e instituciones de crédito c/c vista, moneda extranjera";
574;"Bancos e instituciones de crédito, cuentas de ahorro, euros";
575;"Bancos e instituciones de crédito, cuentas de ahorro, moneda extranjera";
576;"Inversiones a corto plazo de gran liquidez";
58;"ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA Y ACTIVOS Y PASIVOS ASOCIADOS";
580;"Inmovilizado";
581;"Inversiones con personas y entidades vinculadas";
582;"Inversiones financieras";
583;"Existencias, deudores comerciales y otras cuentas a cobrar";
584;"Otros activos";
585;"Provisiones";
586;"Deudas con características especiales";
587;"Deudas con personas y entidades vinculadas";
588;"Acreedores comerciales y otras cuentas a pagar";
589;"Otros pasivos";
59;"DETERIORO DEL VALOR DE INVERSIONES FINANCIERAS A CORTO PLAZO Y DE ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA";
593;"Deterioro de valor de participaciones a corto plazo en partes vinculadas";
5933;"Deterioro de valor de participaciones a corto plazo en empresas del grupo";
5934;"Deterioro de valor de participaciones a corto plazo en empresas asociadas";
5935;"Deterioro de valor de las participaciones a corto plazo en otras parte vinculadas";
594;"Deterioro de valor de valores representativos de deuda a corto plazo de partes vinculadas";
5943;"Deterioro de valor de valores representativos de deuda a corto plazo de empresas del grupo";
5944;"Deterioro de valor de valores representativos de deuda a corto plazo de empresas asociadas";
5945;"Deterioro de valor de valores representativos de deuda a corto plazo de otras partes vinculadas";
595;"Deterioro de valor de créditos a corto plazo a partes vinculadas";
5953;"Deterioro de valor de créditos a corto plazo a empresas del grupo";
5954;"Deterioro de valor de créditos a corto plazo a empresas asociadas";
5955;"Deterioro de valor de créditos a corto plazo a otras partes vinculadas";
596;"Deterioro de valor de participaciones a corto plazo";
597;"Deterioro de valor de valores representativos de deuda a corto plazo";
598;"Deterioro de valor de créditos a corto plazo";
599;"Deterioro de valor de activos no corrientes mantenidos para la venta";
5990;"Deterioro de valor de inmovilizado no corriente mantenido para la venta";
5991;"Deterioro de valor de inversiones con personas y entidades vinculadas no corrientes mantenidas para la venta";
5992;"Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta";
5993;"Deterioro de valor de existencias, deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta";
5994;"Deterioro de valor de otros activos mantenidos para la venta";
6;"COMPRAS Y GASTOS";
60;"COMPRAS";
600;"Compras de mercaderías";"COMPRA"
601;"Compras de materias primas";
602;"Compras de otros aprovisionamientos";
605;"Compras efectuados a socios";
606;"Descuentos sobre compras por pronto pago";
6060;"Descuentos sobre compras por pronto pago de mercaderías";
6061;"Descuentos sobre compras por pronto pago de materias primas";
6062;"Descuentos sobre compras por pronto pago de otros aprovisionamientos";
6063;"Descuentos sobre compras por pronto pago a socios";
607;"Trabajos realizados por otras empresas";
608;"Devoluciones de compras y operaciones similares";
6080;"Devoluciones de compras de mercaderías";"DEVCOM"
6081;"Devoluciones de compras de materias primas";
6082;"Devoluciones de compras de otros aprovisionamientos";
6083;"Devoluciones de compras a socios";
609;"“Rappels” por compras";
6090;"“Rappels” por compras de mercaderías";
6091;"“Rappels” por compras de materias primas";
6092;"“Rappels” por compras de otros aprovisionamientos";
6093;"""Rappels"" por compras efectuadas a socios";
61;"VARIACIÓN DE EXISTENCIAS";
610;"Variación de existencias de mercaderías";
611;"Variación de existencias de materias primas";
612;"Variación de existencias de otros aprovisionamientos";
617;"Variacion de existencias adquiridas a socios";
62;"SERVICIOS EXTERIORES";
620;"Gastos en investigación y desarrollo del ejercicio";
621;"Arrendamientos y cánones";
622;"Reparaciones y conservación";
623;"Servicios de profesionales independientes";
624;"Transportes";
625;"Primas de seguros";
626;"Servicios bancarios y similares";
627;"Publicidad, propaganda y relaciones públicas";
628;"Suministros";
629;"Otros servicios";
63;"TRIBUTOS";
630;"Impuesto sobre beneficios";
6300;"Impuesto corriente";
6301;"Impuesto diferido";
631;"Otros tributos";
633;"Ajustes negativos en la imposición sobre beneficios";
634;"Ajustes negativos en la imposición indirecta";
6341;"Ajustes negativos en IVA de activo corriente";
6342;"Ajustes negativos en IVA de inversiones";
636;"Devolución de impuestos";
638;"Ajustes positivos en la imposición sobre beneficios";
639;"Ajustes positivos en la imposición indirecta";
6391;"Ajustes positivos en IVA de activo corriente";
6392;"Ajustes positivos en IVA de inversiones";
64;"GASTOS DE PERSONAL";
640;"Sueldos y salarios";
641;"Indemnizaciones";
642;"Seguridad Social a cargo de la empresa";
643;"Retribuciones a largo plazo mediante sistemas de aportación definida";
644;"Retribuciones a largo plazo mediante sistemas de prestación definida";
6440;"Contribuciones anuales";
6442;"Otros costes";
645;"Retribuciones al personal mediante instrumentos de patrimonio";
6450;"Retribuciones al personal liquidados con instrumentos de patrimonio";
6457;"Retribuciones al personal liquidados en efectivo basado en instrumentosde patrimonio";
647;"Retribucion a los socios trabajadores";
649;"Otros gastos sociales";
65;"OTROS GASTOS DE GESTIÓN Y ESPECÍFICOS DE LA COOPERATIVA";
650;"Pérdidas de créditos comerciales incobrables";
651;"Resultados de operaciones en común";
6510;"Beneficio transferido (gestor)";
6511;"Pérdida soportada (partícipe o asociado no gestor)";
656;"Intereses de las aportaciones al capital social y otros fondos";
657;"Dotacion al fondo de educacion, formacion y promocion (FEFP)";
659;"Otras pérdidas en gestión corriente";
66;"GASTOS FINANCIEROS";
660;"Gastos financieros por actualización de provisiones";
661;"Intereses de obligaciones y bonos";
6610;"Intereses de obligaciones y bonos a largo plazo, empresas del grupo";
6611;"Intereses de obligaciones y bonos a largo plazo, empresas asociadas";
6612;"Intereses de obligaciones y bonos a largo plazo, otras partes vinculadas";
6613;"Intereses de obligaciones y bonos a largo plazo, otras empresas";
6615;"Intereses de obligaciones y bonos a corto plazo, empresas del grupo";
6616;"Intereses de obligaciones y bonos a corto plazo, empresas asociadas";
6617;"Intereses de obligaciones y bonos a corto plazo, otras partes vinculadas";
6618;"Intereses de obligaciones y bonos a corto plazo, otras empresas";
662;"Intereses de deudas";
6620;"Intereses de deudas, empresas del grupo";
6621;"Intereses de deudas, empresas asociadas";
6622;"Intereses de deudas, otras partes vinculadas";
6623;"Intereses de deudas con entidades de crédito";
6624;"Intereses de deudas, otras empresas";
663;"Pérdidas por valoración de instrumentos financieros por su valor razonable";
6630;"Pérdidas de cartera de negociación";
6631;"Pérdidas de designados por la empresa";
6632;"Pérdidas de disponibles para la venta";
6633;"Pérdidas de instrumentos de cobertura";
664;"Dividendos de acciones o participaciones consideradas como pasivos financieros";
6640;"Dividendos de pasivos, empresas del grupo";
6641;"Dividendos de pasivos, empresas asociadas";
6642;"Dividendos de pasivos, otras partes vinculadas";
6643;"Dividendos de pasivos, otras empresas";
6647;"Intereses y retorno obligatorio de las aportaciones a capital cooperativo y de otros fondos calificados como caracteristicas de deuda";
665;"Intereses por descuento de efectos y operaciones de factoring";
6650;"Intereses por descuento de efectos en entidades de crédito del grupo";
6651;"Intereses por descuento de efectos en entidades de crédito asociadas";
6652;"Intereses por descuento de efectos en otras entidades de crédito vinculadas";
6653;"Intereses por descuento de efectos en otras entidades de crédito";
6654;"Intereses por operaciones de “factoring” con entidades de crédito del grupo";
6655;"Intereses por operaciones de “factoring” con entidades de crédito asociadas";
6656;"Intereses por operaciones de “factoring” con otras entidades de crédito vinculadas";
6657;"Intereses por operaciones de “factoring” con otras entidades de crédito";
666;"Pérdidas en participaciones y valores representativos de deuda";
6660;"Pérdidas en valores representativos de deuda a largo plazo, empresas del grupo";
6661;"Pérdidas en valores representativos de deuda a largo plazo, empresas asociadas";
6662;"Pérdidas en valores representativos de deuda a largo plazo, otras partes vinculadas";
6663;"Pérdidas en participaciones y valores representativos de deuda a largo plazo, otras empresas";
6665;"Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas del grupo";
6666;"Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas asociadas";
6667;"Pérdidas en valores representativos de deuda a corto plazo, otras partes vinculadas";
6668;"Pérdidas en valores representativos de deuda a corto plazo, otras empresas";
667;"Pérdidas de créditos no comerciales";
6670;"Pérdidas de créditos a largo plazo, empresas del grupo";
6671;"Pérdidas de créditos a largo plazo, empresas asociadas";
6672;"Pérdidas de créditos a largo plazo, otras partes vinculadas";
6673;"Pérdidas de créditos a largo plazo, otras empresas";
6675;"Pérdidas de créditos a corto plazo, empresas del grupo";
6676;"Pérdidas de créditos a corto plazo, empresas asociadas";
6677;"Pérdidas de créditos a corto plazo, otras partes vinculadas";
6678;"Pérdidas de créditos a corto plazo, otras empresas";
668;"Diferencias negativas de cambio";"EURNEG"
669;"Otros gastos financieros";
67;"PÉRDIDAS PROCEDENTES DE ACTIVOS NO CORRIENTES Y GASTOS EXCEPCIONALES";
670;"Pérdidas procedentes del inmovilizado intangible";
671;"Pérdidas procedentes del inmovilizado material";
672;"Pérdidas procedentes de las inversiones inmobiliarias";
673;"Pérdidas procedentes de participaciones a largo plazo en partes vinculadas";
6733;"Pérdidas procedentes de participaciones a largo plazo, empresas del grupo";
6734;"Pérdidas procedentes de participaciones a largo plazo, empresas asociadas";
6735;"Pérdidas procedentes de participaciones a largo plazo, otras partes vinculadas";
675;"Pérdidas por operaciones con obli gaciones propias";
678;"Gastos excepcionales";
68;"DOTACIONES PARA AMORTIZACIONES";
680;"Amortización del inmovilizado intangible";
681;"Amortización del inmovilizado material";
682;"Amortización de las inversiones inmobiliarias";
69;"PÉRDIDAS POR DETERIORO Y OTRAS DOTACIONES";
690;"Pérdidas por deterioro del inmovilizado intangible";
691;"Pérdidas por deterioro del inmovilizado material";
692;"Pérdidas por deterioro de las inversiones inmobiliarias";
693;"Pérdidas por deterioro de existencias";
6930;"Pérdidas por deterioro de productos terminados y en curso de fabricación";
6931;"Pérdidas por deterioro de mercaderías";
6932;"Pérdidas por deterioro de materias primas";
6933;"Pérdidas por deterioro de otros aprovisionamientos";
694;"Pérdidas por deterioro de créditos por operaciones comerciales";
695;"Dotación a la provisión por operaciones comerciales";
6954;"Dotación a la provisión por contratos onerosos";
6959;"Dotación a la provisión para otras operaciones comerciales";
696;"Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo";
6960;"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo";
6961;"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas";
6962;"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas";
6963;"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas";
6965;"Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas del grupo";
6966;"Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas asociadas";
6967;"Pérdidas por deterioro en valores representativos de deuda a largo plazo, otras partes vinculadas";
6968;"Pérdidas por deterioro en valores representativos de deuda a largo plazo, de otras empresas";
697;"Pérdidas por deterioro de créditos a largo plazo";
6970;"Pérdidas por deterioro de créditos a largo plazo, empresas del grupo";
6971;"Pérdidas por deterioro de créditos a largo plazo, empresas asociadas";
6972;"Pérdidas por deterioro de créditos a largo plazo, otras partes vinculadas";
6973;"Pérdidas por deterioro de créditos a largo plazo, otras empresas";
698;"Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo";
6980;"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo";
6981;"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas";
6985;"Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas del grupo";
6986;"Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas asociadas";
6987;"Pérdidas por deterioro en valores representativos de deuda a corto plazo, otras partes vinculadas";
6988;"Pérdidas por deterioro en valores representativos de deuda a corto plazo, de otras empresas";
699;"Pérdidas por deterioro de créditos a corto plazo";
6990;"Pérdidas por deterioro de créditos a corto plazo, empresas del grupo";
6991;"Pérdidas por deterioro de créditos a corto plazo, empresas asociadas";
6992;"Pérdidas por deterioro de créditos a corto plazo, otras partes vinculadas";
6993;"Pérdidas por deterioro de créditos a corto plazo, otras empresas";
7;"VENTAS E INGRESOS";
70;"VENTAS DE MERCADERÍAS, DE PRODUCCIÓN PROPIA, DE SERVICIOS, ETC";
700;"Ventas de mercaderías";"VENTAS"
701;"Ventas de productos terminados";"VENTAS"
702;"Ventas de productos semiterminados";"VENTAS"
703;"Ventas de subproductos y residuos";"VENTAS"
704;"Ventas de envases y embalajes";"VENTAS"
705;"Prestaciones de servicios";"VENTAS"
706;"Descuentos sobre ventas por pronto pago";
7060;"Descuentos sobre ventas por pronto pago de mercaderías";
7061;"Descuentos sobre ventas por pronto pago de productos terminados";
7062;"Descuentos sobre ventas por pronto pago de productos semiterminados";
7063;"Descuentos sobre ventas por pronto pago de subproductos y residuos";
708;"Devoluciones de ventas y operaciones similares";
7080;"Devoluciones de ventas de mercaderías";"DEVVEN"
7081;"Devoluciones de ventas de productos terminados";
7082;"Devoluciones de ventas de productos semiterminados";
7083;"Devoluciones de ventas de subproductos y residuos";
7084;"Devoluciones de ventas de envases y embalajes";
709;"“Rappels” sobre ventas";
7090;"«Rappels» sobre ventas de mercaderías";
7091;"“Rappels” sobre ventas de productos terminados";
7092;"“Rappels” sobre ventas de productos semiterminados";
7093;"“Rappels” sobre ventas de subproductos y residuos";
7094;"“Rappels” sobre ventas de envases y embalajes";
71;"VARIACIÓN DE EXISTENCIAS";
710;"Variación de existencias de productos en curso";
711;"Variación de existencias de productos semiterminados";
712;"Variación de existencias de productos terminados";
713;"Variación de existencias de subproductos, residuos y materiales recuperados";
73;"TRABAJOS REALIZADOS PARA LA EMPRESA";
730;"Trabajos realizados para el inmovilizado intangible";
731;"Trabajos realizados para el inmovilizado material";
732;"Trabajos realizados en inversiones inmobiliarias";
733;"Trabajos realizados para el inmovilizado material en curso";
737;"Trabajos realizados para el fondo de educacion, formacion y promocion";
74;"SUBVENCIONES, DONACIONES Y LEGADOS";
740;"Subvenciones, donaciones y legados a la explotación";
746;"Subvenciones, donaciones y legados de capital transferidos al resultado del ejercicio";
747;"Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio";
75;"OTROS INGRESOS DE GESTIÓN";
751;"Resultados de operaciones en común";
7510;"Pérdida transferida (gestor)";
7511;"Beneficio atribuido (partícipe o asociado no gestor)";
752;"Ingresos por arrendamientos";
753;"Ingresos de propiedad industrial cedida en explotación";
754;"Ingresos por comisiones";
755;"Ingresos por servicios al personal";
756;"Ingresos por operaciones con socios";
7560;"Ingresos por servicios diversos con socios";
757;"Ingresos imputables al fondo de educación, formación y promoción";
7570;"Sanciones impuestas a socios imputables al fondo de educación, formación y promoción";
7571;"Subvenciones imputables al fondo de educación, formación y promoción";
7572;"Dotaciones imputables al fondo de educación, formación y promoción";
7573;"Otros ingresos imputables al fondo de educación, formación y promoción";
759;"Ingresos por servicios diversos";
76;"INGRESOS FINANCIEROS";
760;"Ingresos de participaciones en instrumentos de patrimonio";
7600;"Ingresos de participaciones en instrumentos de patrimonio, empresas del grupo";
7601;"Ingresos de participaciones en instrumentos de patrimonio, empresas asociadas";
7602;"Ingresos de participaciones en instrumentos de patrimonio, otras partes vinculadas";
7603;"Ingresos de participaciones en instrumentos de patrimonio, otras empresas";
761;"Ingresos de valores representativos de deuda";
7610;"Ingresos de valores representativos de deuda, empresas del grupo";
7611;"Ingresos de valores representativos de deuda, empresas asociadas";
7612;"Ingresos de valores representativos de deuda, otras partes vinculadas";
7613;"Ingresos de valores representativos de deuda, otras empresas";
762;"Ingresos de créditos";
7620;"Ingresos de créditos a largo plazo";
76200;"Ingresos de créditos a largo plazo, empresas del grupo";
76201;"Ingresos de créditos a largo plazo, empresas asociadas";
76202;"Ingresos de créditos a largo plazo, otras partes vinculadas";
76203;"Ingresos de créditos a largo plazo, otras empresas";
7621;"Ingresos de créditos a corto plazo";
76210;"Ingresos de créditos a corto plazo, empresas del grupo";
76211;"Ingresos de créditos a corto plazo, empresas asociadas";
76212;"Ingresos de créditos a corto plazo, otras partes vinculadas";
76213;"Ingresos de créditos a corto plazo, otras empresas";
763;"Beneficios por valoración de instrumentos financieros por su valor razonable";
7630;"Beneficios de cartera de negociación";
7631;"Beneficios de designados por la empresa";
7632;"Beneficios de disponibles para la venta";
7633;"Beneficios de instrumentos de cobertura";
766;"Beneficios en participaciones y valores representativos de deuda";
7660;"Beneficios en valores representativos de deuda a largo plazo, empresas del grupo";
7661;"Beneficios en valores representativos de deuda a largo plazo, empresas asociadas";
7662;"Beneficios en valores representativos de deuda a largo plazo, otras partes vinculadas";
7663;"Beneficios en participaciones y valores representativos de deuda a largo plazo, otras empresas";
7665;"Beneficios en participaciones y valores representativos de deuda a corto plazo, empresas del grupo";
7666;"Beneficios en participaciones y valores representativos de deuda a corto plazo, empresas asociadas";
7667;"Beneficios en valores representativos de deuda a corto plazo, otras partes vinculadas";
7668;"Beneficios en valores representativos de deuda a corto plazo, otras empresas";
767;"Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo";
768;"Diferencias positivas de cambio";"EURPOS"
769;"Otros ingresos financieros";
77;"BENEFICIOS PROCEDENTES DE ACTIVOS NO CORRIENTES E INGRESOS EXCEPCIONALES";
770;"Beneficios procedentes del inmovilizado intangible";
771;"Beneficios procedentes del inmovilizado material";
772;"Beneficios procedentes de las inversiones inmobiliarias";
773;"Beneficios procedentes de participaciones a largo plazo en partes vinculadas";
7733;"Beneficios procedentes de participaciones a largo plazo, empresas del grupo";
7734;"Beneficios procedentes de participaciones a largo plazo, empresas asociadas";
7735;"Beneficios procedentes de participaciones a largo plazo, otras partes vinculadas";
774;"Diferencia negativa en combinaciones de negocios";
775;"Beneficios por operaciones con obligacionespropias";
778;"Ingresos excepcionales";
79;"EXCESOS Y APLICACIONES DE PROVISIONES Y DE PÉRDIDAS POR DETERIORO";
790;"Reversión del deterioro del inmovilizado intangible";
791;"Reversión del deterioro del inmovilizado material";
792;"Reversión del deterioro de las inversiones inmobiliarias";
793;"Reversión del deterioro de existencias";
7930;"Reversión del deterioro de productos terminados y en curso de fabricación";
7931;"Reversión del deterioro de mercaderías";
7932;"Reversión del deterioro de materias primas";
7933;"Reversión del deterioro de otros aprovisionamientos";
794;"Reversión del deterioro de créditos por operaciones comerciales";
795;"Exceso de provisiones";
7950;"Exceso de provisión por retribuciones al personal";
7951;"Exceso de provisión para impuestos";
7952;"Exceso de provisión para otras responsabilidades";
7954;"Exceso de provisión por operaciones comerciales";
79544;"Exceso de provisión por contratos onerosos";
79549;"Exceso de provisión para otras operaciones comerciales";
7955;"Exceso de provisión para actuaciones medioambientales";
7956;"Exceso de provisión para reestructuraciones";
7957;"Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio";
796;"Reversión del deterioro de participaciones y valores representativos de deuda a largo plazo";
7960;"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo";
7961;"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas";
7962;"Reversion del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas.";
7963;"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas.";
7965;"Reversión del deterioro de valores representativos de deuda a largo plazo, empresas del grupo";
7966;"Reversión del deterioro de valores representativos de deuda a largo plazo, empresas asociadas";
7967;"Reversión del deterioro de valores representativos de deuda a largo plazo, otras partes vinculadas";
7968;"Reversión del deterioro de valores representativos de deuda a largo plazo, otras empresas";
797;"Reversión del deterioro de créditos a largo plazo";
7970;"Reversión del deterioro de créditos a largo plazo, empresas del grupo";
7971;"Reversión del deterioro de créditos a largo plazo, empresas asociadas";
7972;"Reversión del deterioro de créditos a largo plazo, otras partes vinculadas";
7973;"Reversión del deterioro de créditos a largo plazo, otras empresas";
798;"Reversión del deterioro de participaciones y valores representativos de deuda a corto plazo";
7980;"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo";
7981;"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas";
7985;"Reversión del deterioro en valores representativos de deuda a corto plazo, empresas del grupo";
7986;"Reversión del deterioro en valores representativos de deuda a corto plazo, empresas asociadas";
7987;"Reversión del deterioro en valores representativos de deuda a corto plazo, otras partes vinculadas";
7988;"Reversión del deterioro en valores representativos de deuda a corto plazo, otras empresas";
799;"Reversión del deterioro de créditos a corto plazo";
7990;"Reversión del deterioro de créditos a corto plazo, empresas del grupo";
7991;"Reversión del deterioro de créditos a corto plazo, empresas asociadas";
7992;"Reversión del deterioro de créditos a corto plazo, otras partes vinculadas";
7993;"Reversión del deterioro de créditos a corto plazo, otras empresas";
8;"GASTOS IMPUTADOS AL PATRIMONIO NETO";
80;"GASTOS FINANCIEROS POR VALORACIÓN DE ACTIVOS Y PASIVOS";
800;"Pérdidas en activos financieros disponibles para la venta";
802;"Transferencia de beneficios en activos financieros disponibles para la venta";
81;"GASTOS EN OPERACIONES DE COBERTURA";
810;"Pérdidas por coberturas de flujos de efectivo";
811;"Pérdidas por coberturas de inversiones netas en un negocio en el extranjero";
812;"Transferencia de beneficios por coberturas de flujos de efectivo";
813;"Transferencia de beneficios por coberturas de inversiones netas en un negocio en el extranjero";
82;"GASTOS POR DIFERENCIAS DE CONVERSIÓN";
820;"Diferencias de conversión negativas";
821;"Transferencia de diferencias de conversión positivas";
83;"IMPUESTO SOBRE BENEFICIOS";
830;"Impuesto sobre beneficios";
8300;"Impuesto corriente";
8301;"Impuesto diferido";
833;"Ajustes negativos en la imposición sobre beneficios";
834;"Ingresos fiscales por diferencias permanentes";
835;"Ingresos fiscales por deducciones y bonificaciones";
836;"Transferencia de diferencias permanentes";
837;"Transferencia de deducciones y bonificaciones";
838;"Ajustes positivos en la imposición sobre beneficios";
84;"TRANSFERENCIAS DE SUBVENCIONES, DONACIONES Y LEGADOS";
840;"Transferencia de subvenciones oficiales de capital";
841;"Transferencia de donaciones y legados de capital";
842;"Transferencia de otras subvenciones, donaciones y legados";
85;"GASTOS POR PÉRDIDAS ACTUARIALES Y AJUSTES EN LOS ACTIVOS POR RETRIBUCIONES A LARGO PLAZO DE PRESTACIÓN DEFINIDA";
850;"Pérdidas actuariales";
851;"Ajustes negativos en activos por retribuciones a largo plazo de prestación definida";
86;"GASTOS POR ACTIVOS NO CORRIENTES EN VENTA";
860;"Pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";
862;"Transferencia de beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";
89;"GASTOS DE PARTICIPACIONES EN EMPRESAS DEL GRUPO O ASOCIADAS CON AJUSTES VALORATIVOS POSITIVOS PREVIOS";
891;"Deterioro de participaciones en el patrimonio, empresas del grupo";
892;"Deterioro de participaciones en el patrimonio, empresas asociadas";
9;"INGRESOS IMPUTADOS AL PATRIMONIO NETO";
90;"INGRESOS FINANCIEROS POR VALORACIÓN DE ACTIVOS Y PASIVOS";
900;"Beneficios en activos financieros disponibles para la venta";
902;"Transferencia de pérdidas de activos financieros disponibles para la venta";
91;"INGRESOS EN OPERACIONES DE COBERTURA";
910;"Beneficios por coberturas de flujos de efectivo";
911;"Beneficios por coberturas de una inversión neta en un negocio en el extranjero";
912;"Transferencia de pérdidas por coberturas de flujos de efectivo";
913;"Transferencia de pérdidas por coberturas de una inversión neta en un negocio en el extranjero";
92;"INGRESOS POR DIFERENCIAS DE CONVERSIÓN";
920;"Diferencias de conversión positivas";
921;"Transferencia de diferencias de conversión negativas";
94;"INGRESOS POR SUBVENCIONES, DONACIONES Y LEGADOS";
940;"Ingresos de subvenciones oficiales de capital";
941;"Ingresos de donaciones y legados de capital";
942;"Ingresos de otras subvenciones, donaciones y legados";
95;"INGRESOS POR GANANCIAS ACTUARIALES Y AJUSTES EN LOS ACTIVOS POR RETRIBUCIONES A LARGO PLAZO DE PRESTACIÓN DEFINIDA";
950;"Ganancias actuariales";
951;"Ajustes positivos en activos por retribuciones a largo plazo de prestación definida";
96;"INGRESOS POR ACTIVOS NO CORRIENTES EN VENTA";
960;"Beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";
962;"Transferencia de pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";
99;"INGRESOS DE PARTICIPACIONES EN EMPRESAS DEL GRUPO O ASOCIADAS CON AJUSTES VALORATIVOS NEGATIVOS PREVIOS";
991;"Recuperación de ajustes valorativos negativos previos, empresas del grupo";
992;"Recuperación de ajustes valorativos negativos previos, empresas asociadas";
993;"Transferencia por deterioro de ajustes valorativos negativos previos, empresas del grupo";
994;"Transferencia por deterioro de ajustes valorativos negativos previos, empresas asociadas";
1000000000;"Capital Social cooperativo. Aportaciones obligatorias";
1001000000;"Capital Social cooperativo. Aportaciones voluntarias";
1002000000;"Socios colaboradores";
1002100000;"Asociados o adheridos";
1030000000;"Socios por desembolsos no exigidos, capital social";
1034000000;"Socios por desembolsos no exigidos,capital pendiente de inscripción";
1040000000;"Socios por aportaciones no dinerarias pendientes, capital social";
1044000000;"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción";
1070000000;"Fondo de Participaciones y otros fondos subordinados con vencimiento en la liquidacion";
1071000000;"Otros fondos subordinados con vencimiento en la liquidacion";
1080000000;"Acciones o participaciones propias en situaciones especiales";
1110000000;"Patrimonio neto por emisión de instrumentos financieros compuestos";
1111000000;"Resto de instrumentos de patrimonio neto";
1121000000;"Fondo de reserva obligatorio por aplicación de excedentes";
1122000000;"Fondo de reserva obligatorio por cuotas de ingreso";
1123000000;"fondo de reserva obligatorio por deducciones";
1131000000;"Fondo de reserva voluntario irrepartible";
1132000000;"Fondo de reserva voluntario repartible";
1140000000;"Reservas para acciones o participaciones de la sociedad dominante";
1141000000;"Reservas estatutarias";
1142000000;"Reserva por capital amortizado";
1143000000;"Reserva por fondo de comercio";
1144000000;"Reservas por acciones propias aceptadas en garantía";
1145000000;"Fondo por incorporacion de beneficios";
1145100000;"Fondo por revalorizacion de activos";
1150000000;"Reservas por pérdidas y ganancias actuariales y otros ajustes";
1181000000;"Aportaciones de socios por compensar pérdidas";
1190000000;"Diferencias por ajuste del capital a euros";
1200000000;"Remanente";
1210000000;"Resultados negativos de ejercicios anteriores";
1290000000;"Excedente cooperativo";
